exec_id,run_id,config,exit_code,started_at,finished_at,log,status
"tora_fwd_100__2026-02-24T22-33-47+00-00","tora_fwd_100","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/1_tora_100.toml","0","2026-02-24T22:33:47+00:00","2026-02-24T14:34:05-08:00","logs/transcripts/tora_fwd_100__2026-02-24T22-33-47+00-00.log","logs/status/tora_fwd_100__2026-02-24T22-33-47+00-00.status"
"tora_fwd_200__2026-02-24T22-34-05+00-00","tora_fwd_200","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/1_tora_200.toml","0","2026-02-24T22:34:05+00:00","2026-02-24T14:34:24-08:00","logs/transcripts/tora_fwd_200__2026-02-24T22-34-05+00-00.log","logs/status/tora_fwd_200__2026-02-24T22-34-05+00-00.status"
"tora_fwd_50__2026-02-24T22-34-24+00-00","tora_fwd_50","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/1_tora_50.toml","0","2026-02-24T22:34:24+00:00","2026-02-24T14:34:42-08:00","logs/transcripts/tora_fwd_50__2026-02-24T22-34-24+00-00.log","logs/status/tora_fwd_50__2026-02-24T22-34-24+00-00.status"
"unicycle_fwd_1000__2026-02-24T22-34-42+00-00","unicycle_fwd_1000","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_1000.toml","0","2026-02-24T22:34:42+00:00","2026-02-24T14:49:23-08:00","logs/transcripts/unicycle_fwd_1000__2026-02-24T22-34-42+00-00.log","logs/status/unicycle_fwd_1000__2026-02-24T22-34-42+00-00.status"
"unicycle_fwd_250__2026-02-24T22-49-23+00-00","unicycle_fwd_250","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_250.toml","0","2026-02-24T22:49:23+00:00","2026-02-24T15:02:00-08:00","logs/transcripts/unicycle_fwd_250__2026-02-24T22-49-23+00-00.log","logs/status/unicycle_fwd_250__2026-02-24T22-49-23+00-00.status"
"unicycle_fwd_500__2026-02-24T23-02-00+00-00","unicycle_fwd_500","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_500.toml","0","2026-02-24T23:02:00+00:00","2026-02-24T15:15:14-08:00","logs/transcripts/unicycle_fwd_500__2026-02-24T23-02-00+00-00.log","logs/status/unicycle_fwd_500__2026-02-24T23-02-00+00-00.status"
"att_fwd_128__2026-02-24T23-15-14+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_10.toml","1","2026-02-24T23:15:14+00:00","2026-02-24T15:23:11-08:00","logs/transcripts/att_fwd_128__2026-02-24T23-15-14+00-00.log","logs/status/att_fwd_128__2026-02-24T23-15-14+00-00.status"
"att_fwd_128__2026-02-24T23-23-11+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_11.toml","1","2026-02-24T23:23:11+00:00","2026-02-24T15:31:09-08:00","logs/transcripts/att_fwd_128__2026-02-24T23-23-11+00-00.log","logs/status/att_fwd_128__2026-02-24T23-23-11+00-00.status"
"att_fwd_128__2026-02-24T23-31-09+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_12.toml","1","2026-02-24T23:31:09+00:00","2026-02-24T15:39:08-08:00","logs/transcripts/att_fwd_128__2026-02-24T23-31-09+00-00.log","logs/status/att_fwd_128__2026-02-24T23-31-09+00-00.status"
"att_fwd_128__2026-02-24T23-39-08+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_13.toml","1","2026-02-24T23:39:08+00:00","2026-02-24T15:47:04-08:00","logs/transcripts/att_fwd_128__2026-02-24T23-39-08+00-00.log","logs/status/att_fwd_128__2026-02-24T23-39-08+00-00.status"
