exec_id,run_id,config,exit_code,started_at,finished_at,log,status
"tora_fwd_100__2026-02-25T18-46-13+00-00","tora_fwd_100","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/1_tora_100.toml","0","2026-02-25T18:46:13+00:00","2026-02-25T10:46:33-08:00","logs/transcripts/tora_fwd_100__2026-02-25T18-46-13+00-00.log","logs/status/tora_fwd_100__2026-02-25T18-46-13+00-00.status"
"tora_fwd_200__2026-02-25T18-46-33+00-00","tora_fwd_200","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/1_tora_200.toml","0","2026-02-25T18:46:33+00:00","2026-02-25T10:46:53-08:00","logs/transcripts/tora_fwd_200__2026-02-25T18-46-33+00-00.log","logs/status/tora_fwd_200__2026-02-25T18-46-33+00-00.status"
"tora_fwd_50__2026-02-25T18-46-53+00-00","tora_fwd_50","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/1_tora_50.toml","0","2026-02-25T18:46:53+00:00","2026-02-25T10:47:13-08:00","logs/transcripts/tora_fwd_50__2026-02-25T18-46-53+00-00.log","logs/status/tora_fwd_50__2026-02-25T18-46-53+00-00.status"
"unicycle_fwd_1000__2026-02-25T18-47-13+00-00","unicycle_fwd_1000","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_1000.toml","0","2026-02-25T18:47:13+00:00","2026-02-25T11:01:44-08:00","logs/transcripts/unicycle_fwd_1000__2026-02-25T18-47-13+00-00.log","logs/status/unicycle_fwd_1000__2026-02-25T18-47-13+00-00.status"
"unicycle_fwd_250__2026-02-25T19-01-44+00-00","unicycle_fwd_250","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_250.toml","0","2026-02-25T19:01:44+00:00","2026-02-25T11:14:14-08:00","logs/transcripts/unicycle_fwd_250__2026-02-25T19-01-44+00-00.log","logs/status/unicycle_fwd_250__2026-02-25T19-01-44+00-00.status"
"unicycle_fwd_500__2026-02-25T19-14-14+00-00","unicycle_fwd_500","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/2_unicycle_500.toml","0","2026-02-25T19:14:14+00:00","2026-02-25T11:27:20-08:00","logs/transcripts/unicycle_fwd_500__2026-02-25T19-14-14+00-00.log","logs/status/unicycle_fwd_500__2026-02-25T19-14-14+00-00.status"
"att_fwd_128__2026-02-25T19-27-20+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_10.toml","1","2026-02-25T19:27:20+00:00","2026-02-25T11:35:12-08:00","logs/transcripts/att_fwd_128__2026-02-25T19-27-20+00-00.log","logs/status/att_fwd_128__2026-02-25T19-27-20+00-00.status"
"att_fwd_128__2026-02-25T19-35-12+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_11.toml","1","2026-02-25T19:35:12+00:00","2026-02-25T11:43:05-08:00","logs/transcripts/att_fwd_128__2026-02-25T19-35-12+00-00.log","logs/status/att_fwd_128__2026-02-25T19-35-12+00-00.status"
"att_fwd_128__2026-02-25T19-43-05+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_12.toml","1","2026-02-25T19:43:05+00:00","2026-02-25T11:50:59-08:00","logs/transcripts/att_fwd_128__2026-02-25T19-43-05+00-00.log","logs/status/att_fwd_128__2026-02-25T19-43-05+00-00.status"
"att_fwd_128__2026-02-25T19-50-59+00-00","att_fwd_128","/home/sam/Documents/Code/OVERTVerify.jl/configs_to_run/att_13.toml","1","2026-02-25T19:50:59+00:00","2026-02-25T11:58:52-08:00","logs/transcripts/att_fwd_128__2026-02-25T19-50-59+00-00.log","logs/status/att_fwd_128__2026-02-25T19-50-59+00-00.status"
